,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
101,/home/dominik/Links/SC2Reps/Eternal Empire LE (38).SC2Replay,2020-06-09 17:03:47+00:00,False,Protoss,Protoss,4208.0,4194.0,Ziiim,Eternal Empire LE,360,14.0
102,/home/dominik/Links/SC2Reps/Triton LE (14).SC2Replay,2019-11-02 17:55:38+00:00,False,Protoss,Zerg,3688.0,3626.0,Pleydellia,Triton LE,162,62.0
103,/home/dominik/Links/SC2Reps/Ephemeron LE (43).SC2Replay,2020-02-17 17:15:49+00:00,True,Protoss,Terran,3997.0,4152.0,Stilgar,Ephemeron LE,1410,-155.0
104,/home/dominik/Links/SC2Reps/Simulacrum LE (43).SC2Replay,2020-03-14 15:18:34+00:00,True,Protoss,Terran,3993.0,3975.0,ODISEO,Simulacrum LE,220,18.0
105,/home/dominik/Links/SC2Reps/Pillars of Gold LE (6).SC2Replay,2020-06-23 12:13:01+00:00,False,Protoss,Zerg,,,shadowofmich,Pillars of Gold LE,736,
106,/home/dominik/Links/SC2Reps/Submarine LE (6).SC2Replay,2020-06-25 19:58:36+00:00,True,Protoss,Zerg,4049.0,4063.0,&lt;1POL&gt;<sp/>BaKsORO,Submarine LE,785,-14.0
107,/home/dominik/Links/SC2Reps/Deathaura LE (11).SC2Replay,2020-07-06 18:51:04+00:00,True,Protoss,Zerg,,,Carrots,Deathaura LE,507,
108,"/home/dominik/Links/SC2Reps/Ice and Chrome LE (15) countered cannon rush, blink countered voids.SC2Replay",2020-07-02 19:17:59+00:00,True,Protoss,Protoss,4106.0,4090.0,iloveyou,Ice and Chrome LE,440,16.0
109,/home/dominik/Links/SC2Reps/Ice and Chrome LE (33).SC2Replay,2020-07-29 17:41:05+00:00,False,Protoss,Protoss,4069.0,3935.0,SuperBurno,Ice and Chrome LE,777,134.0
110,/home/dominik/Links/SC2Reps/Zen LE (16) (vs ai stats pvz).SC2Replay,2020-05-15 20:43:42+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Zen LE,579,
111,/home/dominik/Links/SC2Reps/Nightshade LE (22).SC2Replay,2020-01-13 20:56:14+00:00,False,Protoss,Terran,3968.0,4000.0,SUPERsKILLER,Nightshade LE,825,-32.0
112,/home/dominik/Links/SC2Reps/Ever Dream LE (25).SC2Replay,2020-05-29 12:17:30+00:00,True,Protoss,Terran,4054.0,3929.0,&lt;SeoYN&gt;<sp/>General,Ever Dream LE,2385,125.0
113,/home/dominik/Links/SC2Reps/Submarine LE (12).SC2Replay,2020-07-06 11:46:51+00:00,True,Protoss,Protoss,4096.0,3884.0,Satori,Submarine LE,411,212.0
114,/home/dominik/Links/SC2Reps/Nightshade LE (44).SC2Replay,2020-04-20 11:40:13+00:00,True,Protoss,Terran,4047.0,4019.0,Kilkenny,Nightshade LE,788,28.0
115,/home/dominik/Links/SC2Reps/Ephemeron LE (14).SC2Replay,2019-11-07 18:24:02+00:00,True,Zerg,Protoss,3019.0,2890.0,Icecöld,Ephemeron LE,830,129.0
116,/home/dominik/Links/SC2Reps/Ephemeron LE (55).SC2Replay,2020-03-09 10:57:07+00:00,False,Protoss,Terran,4068.0,-36400.0,мясник,Ephemeron LE,718,40468.0
117,/home/dominik/Links/SC2Reps/Submarine LE (3).SC2Replay,2020-06-13 18:54:06+00:00,True,Protoss,Terran,4103.0,4038.0,zodiaK,Submarine LE,972,65.0
118,/home/dominik/Links/SC2Reps/Ever Dream LE (4).SC2Replay,2020-04-15 14:50:51+00:00,False,Protoss,Zerg,4043.0,3939.0,Anrik,Ever Dream LE,447,104.0
119,/home/dominik/Links/SC2Reps/Ephemeron LE (9).SC2Replay,2019-11-01 09:15:52+00:00,False,Protoss,Zerg,3729.0,3871.0,Ghalib,Ephemeron LE,552,-142.0
120,/home/dominik/Links/SC2Reps/Ever Dream LE (43).SC2Replay,2020-07-29 18:17:54+00:00,True,Protoss,Zerg,4000.0,4586.0,&lt;12p&gt;<sp/>Unnamedhero,Ever Dream LE,831,-586.0
121,/home/dominik/Links/SC2Reps/Golden Wall LE (11).SC2Replay,2020-05-01 12:42:40+00:00,True,Protoss,Protoss,3944.0,3940.0,Cptred,Golden Wall LE,278,4.0
122,/home/dominik/Links/SC2Reps/Simulacrum LE (22).SC2Replay,2020-01-14 17:17:37+00:00,True,Protoss,Protoss,3948.0,3936.0,TerenceSkill,Simulacrum LE,1171,12.0
123,/home/dominik/Links/SC2Reps/Deathaura LE (13).SC2Replay,2020-07-06 19:19:28+00:00,True,Protoss,Zerg,,,Carrots,Deathaura LE,583,
124,/home/dominik/Links/SC2Reps/Nightshade LE (41).SC2Replay,2020-03-18 12:33:17+00:00,False,Protoss,Protoss,4040.0,4101.0,ManeWicht,Nightshade LE,131,-61.0
125,/home/dominik/Links/SC2Reps/Ephemeron LE (34).SC2Replay,2020-02-02 18:09:05+00:00,True,Protoss,Zerg,3993.0,3889.0,Jetix,Ephemeron LE,1178,104.0
126,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (14).SC2Replay,2019-11-25 17:53:56+00:00,False,Protoss,Protoss,3949.0,3935.0,Crombo,Disco Bloodbath LE,830,14.0
127,/home/dominik/Links/SC2Reps/Nightshade LE (9).SC2Replay,2019-12-21 16:32:08+00:00,True,Zerg,Zerg,3023.0,3026.0,Undead,Nightshade LE,725,-3.0
128,/home/dominik/Links/SC2Reps/Simulacrum LE.SC2Replay,2019-11-29 18:31:35+00:00,True,Protoss,Terran,3939.0,3953.0,&lt;ERHELM&gt;<sp/>Erik,Simulacrum LE,1015,-14.0
129,/home/dominik/Links/SC2Reps/World of Sleepers LE (8).SC2Replay,2019-10-29 18:34:48+00:00,True,Protoss,Zerg,3728.0,3744.0,&lt;Dobro&gt;<sp/>пиражок,World of Sleepers LE,911,-16.0
130,/home/dominik/Links/SC2Reps/Simulacrum LE (53).SC2Replay,2020-04-18 20:30:57+00:00,False,Protoss,Terran,4042.0,4146.0,Alyaska,Simulacrum LE,651,-104.0
131,/home/dominik/Links/SC2Reps/Submarine LE (7).SC2Replay,2020-07-01 08:45:58+00:00,True,Protoss,Terran,4062.0,4064.0,wickedsick,Submarine LE,673,-2.0
132,/home/dominik/Links/SC2Reps/Simulacrum LE (38).SC2Replay,2020-03-02 13:26:04+00:00,True,Protoss,Protoss,4106.0,4190.0,WizZy,Simulacrum LE,390,-84.0
133,/home/dominik/Links/SC2Reps/Thunderbird LE (9).SC2Replay,2019-10-29 11:20:33+00:00,False,Protoss,Protoss,3915.0,3932.0,abelian,Thunderbird LE,320,-17.0
134,/home/dominik/Links/SC2Reps/Ice and Chrome LE (24).SC2Replay,2020-07-12 19:51:33+00:00,True,Protoss,Protoss,4078.0,4036.0,Stefan,Ice and Chrome LE,604,42.0
135,/home/dominik/Links/SC2Reps/Eternal Empire LE.SC2Replay,2019-11-28 19:00:27+00:00,False,Protoss,Terran,3962.0,3942.0,&lt;SILeSp&gt;<sp/>Galactus,Eternal Empire LE,307,20.0
136,/home/dominik/Links/SC2Reps/Eternal Empire LE (8).SC2Replay,2019-12-11 20:23:18+00:00,True,Protoss,Terran,4020.0,4012.0,Legionaru,Eternal Empire LE,1090,8.0
137,/home/dominik/Links/SC2Reps/World of Sleepers LE (6).SC2Replay,2019-10-22 11:42:30+00:00,True,Protoss,Protoss,3840.0,3757.0,NiGHTKiNG,World of Sleepers LE,453,83.0
138,/home/dominik/Links/SC2Reps/Simulacrum LE (27).SC2Replay,2020-02-11 17:52:08+00:00,True,Protoss,Protoss,4045.0,3986.0,ZZtopGun,Simulacrum LE,441,59.0
139,/home/dominik/Links/SC2Reps/Zen LE (10).SC2Replay,2020-05-07 09:42:21+00:00,True,Protoss,Terran,4062.0,4119.0,Yeezus,Zen LE,665,-57.0
140,/home/dominik/Links/SC2Reps/Ever Dream LE (40) did not gate boom vs 51 drone all in.SC2Replay,2020-07-21 19:33:32+00:00,False,Protoss,Zerg,4002.0,4042.0,&lt;WaCKi&gt;<sp/>krzychacz,Ever Dream LE,544,-40.0
141,/home/dominik/Links/SC2Reps/Eternal Empire LE (2).SC2Replay,2019-11-29 18:36:51+00:00,False,Zerg,Zerg,3050.0,3083.0,Kesko,Eternal Empire LE,267,-33.0
142,/home/dominik/Links/SC2Reps/Nightshade LE (21).SC2Replay,2020-01-13 20:21:41+00:00,True,Protoss,Zerg,3995.0,3915.0,&lt;TARAGO&gt;<sp/>Revenge,Nightshade LE,1033,80.0
143,/home/dominik/Links/SC2Reps/World of Sleepers LE (18).SC2Replay,2019-11-08 09:33:36+00:00,True,Protoss,Zerg,3821.0,3922.0,Zend,World of Sleepers LE,944,-101.0
144,/home/dominik/Links/SC2Reps/Simulacrum LE (41).SC2Replay,2020-03-10 19:40:43+00:00,True,Protoss,Zerg,4032.0,4050.0,Drakezul,Simulacrum LE,1077,-18.0
145,/home/dominik/Links/SC2Reps/Ever Dream LE (19).SC2Replay,2020-05-04 12:58:09+00:00,True,Protoss,Terran,3945.0,3952.0,Doghum,Ever Dream LE,869,-7.0
146,/home/dominik/Links/SC2Reps/Ephemeron LE (30).SC2Replay,2020-01-18 19:38:03+00:00,True,Protoss,Zerg,3950.0,3980.0,&lt;SWWT&gt;<sp/>Epic,Ephemeron LE,719,-30.0
147,/home/dominik/Links/SC2Reps/Simulacrum LE (8).SC2Replay,2019-12-14 10:50:21+00:00,True,Protoss,Terran,3933.0,4018.0,&lt;Div303&gt;<sp/>Dupsko,Simulacrum LE,930,-85.0
148,/home/dominik/Links/SC2Reps/Ephemeron LE (5).SC2Replay,2019-10-20 16:35:03+00:00,True,Zerg,Zerg,3119.0,3079.0,greg,Ephemeron LE,613,40.0
149,/home/dominik/Links/SC2Reps/Nightshade LE (30).SC2Replay,2020-02-06 21:02:53+00:00,True,Protoss,Terran,4009.0,3955.0,KJP,Nightshade LE,853,54.0
150,/home/dominik/Links/SC2Reps/Ever Dream LE (33).SC2Replay,2020-07-02 19:08:54+00:00,True,Protoss,Zerg,4084.0,4114.0,XenoSlimE,Ever Dream LE,828,-30.0
151,/home/dominik/Links/SC2Reps/Simulacrum LE (13).SC2Replay,2019-12-21 13:30:37+00:00,False,Protoss,Protoss,3957.0,3956.0,Albus,Simulacrum LE,426,1.0
152,/home/dominik/Links/SC2Reps/Deathaura LE (29).SC2Replay,2020-07-19 10:47:27+00:00,True,Protoss,Terran,3980.0,3987.0,KVS,Deathaura LE,1291,-7.0
153,/home/dominik/Links/SC2Reps/Ice and Chrome LE (25).SC2Replay,2020-07-13 09:27:27+00:00,False,Protoss,Protoss,4101.0,4270.0,&lt;LV&gt;<sp/>zichus,Ice and Chrome LE,1073,-169.0
154,/home/dominik/Links/SC2Reps/Eternal Empire LE (5).SC2Replay,2019-12-09 20:39:03+00:00,False,Protoss,Protoss,4036.0,4108.0,Heradrass,Eternal Empire LE,122,-72.0
155,/home/dominik/Links/SC2Reps/Eternal Empire LE (9).SC2Replay,2019-12-12 18:10:58+00:00,True,Protoss,Zerg,4041.0,3992.0,Ciprian,Eternal Empire LE,955,49.0
156,/home/dominik/Links/SC2Reps/Deathaura LE (38).SC2Replay,2020-07-31 14:37:25+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Deathaura LE,193,
157,/home/dominik/Links/SC2Reps/World of Sleepers LE (5).SC2Replay,2019-10-08 19:28:16+00:00,True,Zerg,Zerg,2800.0,2751.0,FullmetalRak,World of Sleepers LE,546,49.0
158,/home/dominik/Links/SC2Reps/Pillars of Gold LE (8).SC2Replay,2020-06-23 12:36:39+00:00,False,Protoss,Zerg,,,shadowofmich,Pillars of Gold LE,671,
159,/home/dominik/Links/SC2Reps/Zen LE (12).SC2Replay,2020-05-10 19:29:37+00:00,False,Protoss,Terran,4109.0,4127.0,&lt;2G1M&gt;<sp/>Mime,Zen LE,999,-18.0
160,/home/dominik/Links/SC2Reps/Simulacrum LE (7).SC2Replay,2019-12-12 21:29:56+00:00,False,Protoss,Protoss,3957.0,3882.0,Noobofsc,Simulacrum LE,709,75.0
161,/home/dominik/Links/SC2Reps/Eternal Empire LE (14).SC2Replay,2019-12-21 13:54:33+00:00,False,Protoss,Terran,3959.0,3953.0,tiwai,Eternal Empire LE,730,6.0
162,/home/dominik/Links/SC2Reps/Simulacrum LE (12).SC2Replay,2019-12-20 19:21:46+00:00,True,Protoss,Terran,3937.0,3875.0,Neydark,Simulacrum LE,862,62.0
163,/home/dominik/Links/SC2Reps/Zen LE (17).SC2Replay,2020-05-26 09:34:07+00:00,False,Protoss,Protoss,4046.0,4040.0,kerokero,Zen LE,1136,6.0
164,/home/dominik/Links/SC2Reps/Eternal Empire LE (29).SC2Replay,2020-01-05 20:30:44+00:00,False,Protoss,Terran,4015.0,3988.0,oppresticles,Eternal Empire LE,405,27.0
165,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (3).SC2Replay,2019-10-29 18:17:37+00:00,False,Protoss,Zerg,3802.0,3912.0,beh,Disco Bloodbath LE,288,-110.0
166,/home/dominik/Links/SC2Reps/Simulacrum LE (72).SC2Replay,2020-05-10 18:56:45+00:00,False,Protoss,Terran,4145.0,4427.0,Törttö,Simulacrum LE,1009,-282.0
167,/home/dominik/Links/SC2Reps/Golden Wall LE (27).SC2Replay,2020-07-08 17:01:32+00:00,False,Protoss,Protoss,4111.0,3976.0,Hidalgo,Golden Wall LE,828,135.0
168,/home/dominik/Links/SC2Reps/Nightshade LE (5).SC2Replay,2019-12-12 19:21:45+00:00,False,Protoss,Protoss,4063.0,4051.0,Fraze,Nightshade LE,1163,12.0
169,/home/dominik/Links/SC2Reps/Ephemeron LE (6).SC2Replay,2019-10-22 11:34:42+00:00,False,Protoss,Protoss,3881.0,4066.0,&lt;НТТ&gt;<sp/>SPQR,Ephemeron LE,209,-185.0
170,/home/dominik/Links/SC2Reps/Ephemeron LE (3).SC2Replay,2019-10-12 14:14:32+00:00,False,Zerg,Protoss,3053.0,3060.0,&lt;LSDW&gt;<sp/>kaboum,Ephemeron LE,497,-7.0
171,/home/dominik/Links/SC2Reps/Eternal Empire LE (41).SC2Replay,2020-06-10 11:27:56+00:00,False,Protoss,Terran,4125.0,4000.0,Oink,Eternal Empire LE,211,125.0
172,/home/dominik/Links/SC2Reps/Golden Wall LE (12).SC2Replay,2020-05-02 14:40:15+00:00,False,Protoss,Zerg,3968.0,3921.0,&lt;IndyK&gt;<sp/>Wawszyn,Golden Wall LE,401,47.0
173,/home/dominik/Links/SC2Reps/World of Sleepers LE (19).SC2Replay,2019-11-12 09:49:52+00:00,True,Protoss,Terran,3870.0,3900.0,midhigh,World of Sleepers LE,363,-30.0
174,/home/dominik/Links/SC2Reps/Deathaura LE (21).SC2Replay,2020-07-09 17:44:24+00:00,True,Protoss,Protoss,,,A.I. 1 (Elite),Deathaura LE,635,
175,/home/dominik/Links/SC2Reps/World of Sleepers LE (14).SC2Replay,2019-11-04 20:57:05+00:00,False,Protoss,Protoss,3777.0,3761.0,IIIIIIIIIIII,World of Sleepers LE,182,16.0
176,/home/dominik/Links/SC2Reps/Deathaura LE (26).SC2Replay,2020-07-18 18:23:02+00:00,True,Protoss,Zerg,,,A.I. 1 (Easy),Deathaura LE,521,
177,/home/dominik/Links/SC2Reps/World of Sleepers LE (2).SC2Replay,2019-09-24 16:17:17+00:00,True,Protoss,Zerg,-36400.0,4681.0,&lt;FxL&gt;<sp/>VokinLoksar,World of Sleepers LE,519,-41081.0
178,/home/dominik/Links/SC2Reps/World of Sleepers LE (52).SC2Replay,2020-02-17 16:49:49+00:00,False,Protoss,Terran,4018.0,4011.0,&lt;lLiTl&gt;<sp/>Quickman,World of Sleepers LE,800,7.0
179,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (6).SC2Replay,2019-11-02 17:45:05+00:00,True,Protoss,Protoss,3661.0,3631.0,KKroer,Disco Bloodbath LE,585,30.0
180,/home/dominik/Links/SC2Reps/Golden Wall LE (25).SC2Replay,2020-07-04 17:04:47+00:00,True,Terran,Terran,-36400.0,,A.I. 1 (Medium),Golden Wall LE,504,
181,/home/dominik/Links/SC2Reps/Acropolis LE (7).SC2Replay,2019-10-10 20:42:11+00:00,True,Protoss,Protoss,3827.0,3701.0,Pippuri,Acropolis LE,697,126.0
182,/home/dominik/Links/SC2Reps/todo zvp ravager walk.SC2Replay,2020-05-03 20:09:30+00:00,False,Protoss,Zerg,3966.0,3888.0,RomaNo,Purity and Industry LE,270,78.0
183,/home/dominik/Links/SC2Reps/Nightshade LE (53).SC2Replay,2020-05-02 14:53:55+00:00,True,Protoss,Terran,3945.0,3931.0,&lt;EZPTS&gt;<sp/>talisman,Nightshade LE,792,14.0
184,/home/dominik/Links/SC2Reps/Ever Dream LE (27).SC2Replay,2020-06-02 18:39:35+00:00,True,Protoss,Protoss,4076.0,4059.0,IIIIIIIII,Ever Dream LE,722,17.0
185,/home/dominik/Links/SC2Reps/Purity and Industry LE (9).SC2Replay,2020-04-30 10:56:43+00:00,True,Protoss,Zerg,3915.0,3924.0,&lt;RIIP&gt;<sp/>Airea,Purity and Industry LE,534,-9.0
186,/home/dominik/Links/SC2Reps/Ephemeron LE (49).SC2Replay,2020-02-28 07:06:26+00:00,False,Protoss,Zerg,4117.0,4444.0,IIIIIIIIIIII,Ephemeron LE,256,-327.0
187,/home/dominik/Links/SC2Reps/Submarine LE.SC2Replay,2020-06-10 11:35:16+00:00,False,Protoss,Protoss,4100.0,4188.0,&lt;UATeam&gt;<sp/>click,Submarine LE,343,-88.0
188,/home/dominik/Links/SC2Reps/Ephemeron LE (51).SC2Replay,2020-02-29 15:22:31+00:00,True,Protoss,Zerg,4083.0,4060.0,StepO,Ephemeron LE,838,23.0
189,"/home/dominik/Links/SC2Reps/Ice and Chrome LE (30) vs phoenix opener + stalkers, went mass archons off 4gate withupgrades.SC2Replay",2020-07-24 18:23:43+00:00,True,Protoss,Protoss,4040.0,4105.0,Hannibal,Ice and Chrome LE,619,-65.0
190,/home/dominik/Links/SC2Reps/Golden Wall LE (5).SC2Replay,2020-03-31 12:27:18+00:00,True,Protoss,Terran,3979.0,4010.0,&lt;lLiTl&gt;<sp/>Rud,Golden Wall LE,1051,-31.0
191,/home/dominik/Links/SC2Reps/Nightshade LE (63).SC2Replay,2020-06-04 19:18:46+00:00,True,Protoss,Zerg,4181.0,4370.0,&lt;AiRǂ&gt;<sp/>SuperNova,Nightshade LE,846,-189.0
192,/home/dominik/Links/SC2Reps/Ice and Chrome LE (12).SC2Replay,2020-06-29 07:59:35+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Ice and Chrome LE,258,
193,/home/dominik/Links/SC2Reps/Nightshade LE (13).SC2Replay,2019-12-24 18:53:21+00:00,True,Protoss,Zerg,3893.0,3843.0,Vakhtang,Nightshade LE,1004,50.0
194,/home/dominik/Links/SC2Reps/Nightshade LE (49).SC2Replay,2020-04-28 13:05:12+00:00,True,Protoss,Protoss,3895.0,3856.0,AndrU,Nightshade LE,845,39.0
195,/home/dominik/Links/SC2Reps/Ephemeron LE (31).SC2Replay,2020-01-31 12:54:05+00:00,False,Protoss,Zerg,4011.0,4115.0,Stick,Ephemeron LE,591,-104.0
196,/home/dominik/Links/SC2Reps/World of Sleepers LE (25).SC2Replay,2019-11-26 18:58:28+00:00,False,Protoss,Zerg,3927.0,3908.0,прорвемся,World of Sleepers LE,321,19.0
197,/home/dominik/Links/SC2Reps/Simulacrum LE (61).SC2Replay,2020-04-22 20:45:38+00:00,True,Protoss,Zerg,4001.0,3959.0,mSin,Simulacrum LE,704,42.0
198,/home/dominik/Links/SC2Reps/Ephemeron LE (19).SC2Replay,2019-11-18 17:08:15+00:00,False,Protoss,Terran,3912.0,3823.0,InsighT,Ephemeron LE,44,89.0
199,/home/dominik/Links/SC2Reps/Eternal Empire LE (28).SC2Replay,2020-01-05 14:40:17+00:00,False,Protoss,Protoss,4040.0,4043.0,&lt;PÂRłAH&gt;<sp/>SolusRex,Eternal Empire LE,297,-3.0
200,/home/dominik/Links/SC2Reps/Golden Wall LE (24).SC2Replay,2020-07-04 16:35:39+00:00,False,Protoss,Protoss,4086.0,4096.0,Omulus,Golden Wall LE,229,-10.0
201,/home/dominik/Links/SC2Reps/Submarine LE (27).SC2Replay,2020-07-16 15:36:16+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,517,
202,/home/dominik/Links/SC2Reps/Ever Dream LE (20).SC2Replay,2020-05-10 19:12:24+00:00,False,Protoss,Terran,4131.0,4105.0,&lt;2G1M&gt;<sp/>Mime,Ever Dream LE,834,26.0
203,/home/dominik/Links/SC2Reps/Ever Dream LE (40).SC2Replay,2020-07-23 18:37:39+00:00,True,Protoss,Terran,4000.0,4231.0,Colonist,Ever Dream LE,682,-231.0
204,/home/dominik/Links/SC2Reps/Ephemeron LE (15).SC2Replay,2019-11-17 10:20:15+00:00,True,Protoss,Terran,3894.0,3798.0,MightyMurloc,Ephemeron LE,1313,96.0
205,/home/dominik/Links/SC2Reps/Triton LE.SC2Replay,2019-09-11 15:22:43+00:00,True,Protoss,Terran,-36400.0,2806.0,winstrol,Triton LE,478,-39206.0
206,/home/dominik/Links/SC2Reps/Deathaura LE (3).SC2Replay,2020-06-14 11:25:10+00:00,False,Protoss,Zerg,4123.0,4203.0,IIIIIIIIIIII,Deathaura LE,353,-80.0
207,/home/dominik/Links/SC2Reps/Purity and Industry LE (3).SC2Replay,2020-03-24 16:59:08+00:00,True,Zerg,Protoss,3086.0,3078.0,Steelseer,Purity and Industry LE,611,8.0
208,/home/dominik/Links/SC2Reps/Simulacrum LE (71).SC2Replay,2020-05-05 17:44:27+00:00,True,Protoss,Zerg,4005.0,3981.0,&lt;ƮesXG&gt;<sp/>Rymdkrigaren,Simulacrum LE,696,24.0
209,/home/dominik/Links/SC2Reps/Submarine LE (22).SC2Replay,2020-07-16 15:17:31+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Submarine LE,14,
210,/home/dominik/Links/SC2Reps/Ever Dream LE (30).SC2Replay,2020-06-25 19:44:49+00:00,False,Protoss,Zerg,4070.0,4107.0,March,Ever Dream LE,157,-37.0
211,/home/dominik/Links/SC2Reps/Ephemeron LE (29).SC2Replay,2020-01-13 20:42:12+00:00,False,Protoss,Protoss,3989.0,4017.0,MadProbe,Ephemeron LE,149,-28.0
212,/home/dominik/Links/SC2Reps/Deathaura LE (24).SC2Replay,2020-07-13 09:08:15+00:00,True,Protoss,Protoss,4073.0,4276.0,Mitchowyn,Deathaura LE,286,-203.0
213,/home/dominik/Links/SC2Reps/Golden Wall LE (10).SC2Replay,2020-04-27 11:06:38+00:00,True,Protoss,Terran,3956.0,4033.0,Etharis,Golden Wall LE,22,-77.0
214,/home/dominik/Links/SC2Reps/Simulacrum LE (23).SC2Replay,2020-01-19 18:04:18+00:00,True,Protoss,Terran,3969.0,3889.0,StifleR,Simulacrum LE,480,80.0
215,/home/dominik/Links/SC2Reps/Deathaura LE (9).SC2Replay,2020-07-05 10:44:07+00:00,True,Protoss,Zerg,4065.0,3953.0,Karasuman,Deathaura LE,452,112.0
216,"/home/dominik/Links/SC2Reps/Deathaura LE (31) vs random zerg, reacted with 6gate adeptsentry special taktiks.SC2Replay",2020-07-26 11:04:24+00:00,True,Protoss,Zerg,4043.0,4089.0,Nejolight,Deathaura LE,416,-46.0
217,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (11).SC2Replay,2019-11-19 07:23:00+00:00,True,Protoss,Protoss,3934.0,3874.0,IIIIIIIIIIII,Disco Bloodbath LE,780,60.0
218,/home/dominik/Links/SC2Reps/Nightshade LE (62).SC2Replay,2020-06-03 17:53:48+00:00,True,Protoss,Terran,4117.0,3946.0,&lt;DisES&gt;<sp/>Kamenashi,Nightshade LE,471,171.0
219,/home/dominik/Links/SC2Reps/Simulacrum LE (62).SC2Replay,2020-04-24 18:14:15+00:00,False,Protoss,Zerg,4021.0,3985.0,Spider,Simulacrum LE,369,36.0
220,/home/dominik/Links/SC2Reps/Ice and Chrome LE (17).SC2Replay,2020-07-04 16:31:24+00:00,False,Protoss,Zerg,4107.0,4144.0,&lt;IDLK&gt;<sp/>jasben,Ice and Chrome LE,146,-37.0
221,/home/dominik/Links/SC2Reps/Deathaura LE (34).SC2Replay,2020-07-29 10:43:13+00:00,True,Protoss,Protoss,,,A.I. 1 (Easy),Deathaura LE,844,
222,/home/dominik/Links/SC2Reps/Submarine LE (16).SC2Replay,2020-07-09 17:07:12+00:00,False,Protoss,Terran,4090.0,4225.0,Alexclusive,Submarine LE,745,-135.0
223,/home/dominik/Links/SC2Reps/Ephemeron LE (50).SC2Replay,2020-02-29 15:07:01+00:00,False,Protoss,Terran,4100.0,4467.0,&lt;HBeS&gt;<sp/>LoziRa,Ephemeron LE,446,-367.0
224,/home/dominik/Links/SC2Reps/Triton LE (20).SC2Replay,2019-11-20 08:19:24+00:00,False,Protoss,Zerg,3948.0,3885.0,&lt;CocoCo&gt;<sp/>Goty,Triton LE,1199,63.0
225,"/home/dominik/Links/SC2Reps/Ever Dream LE (40) sentries rallied out of main, died to adepts.SC2Replay",2020-07-19 10:25:10+00:00,False,Protoss,Protoss,4006.0,3877.0,&lt;xCRO&gt;<sp/>NexuS,Ever Dream LE,296,129.0
226,/home/dominik/Links/SC2Reps/Simulacrum LE (50).SC2Replay,2020-04-17 19:31:37+00:00,True,Protoss,Terran,4021.0,4030.0,Boban,Simulacrum LE,882,-9.0
227,/home/dominik/Links/SC2Reps/Ice and Chrome LE (35).SC2Replay,2020-07-31 19:12:53+00:00,False,Protoss,Terran,4035.0,3943.0,david,Ice and Chrome LE,842,92.0
228,/home/dominik/Links/SC2Reps/Ever Dream LE (24).SC2Replay,2020-05-27 10:21:13+00:00,True,Protoss,Terran,3985.0,3887.0,Froze,Ever Dream LE,461,98.0
229,/home/dominik/Links/SC2Reps/Golden Wall LE (9).SC2Replay,2020-04-24 18:18:47+00:00,False,Protoss,Zerg,3999.0,3990.0,Spider,Golden Wall LE,218,9.0
230,/home/dominik/Links/SC2Reps/Ever Dream LE (38).SC2Replay,2020-07-15 19:50:02+00:00,False,Protoss,Zerg,-36400.0,,A.I. 1 (Hard),Ever Dream LE,301,
231,/home/dominik/Links/SC2Reps/Deathaura LE (7).SC2Replay,2020-07-01 08:34:14+00:00,True,Protoss,Terran,4046.0,3850.0,etwasAnderes,Deathaura LE,649,196.0
232,/home/dominik/Links/SC2Reps/Submarine LE (8).SC2Replay,2020-07-04 16:55:08+00:00,True,Terran,Terran,-36400.0,,A.I. 1 (Easy),Submarine LE,450,
233,/home/dominik/Links/SC2Reps/Submarine LE (17).SC2Replay,2020-07-15 17:43:11+00:00,False,Protoss,Terran,4081.0,4033.0,&lt;MeIina&gt;<sp/>UndeadGirl,Submarine LE,901,48.0
234,/home/dominik/Links/SC2Reps/Ever Dream LE (29)_test.SC2Replay,2020-06-14 11:55:40+00:00,True,Protoss,Zerg,4080.0,4125.0,&lt;InBri&gt;<sp/>ImbAZerG,Ever Dream LE,812,-45.0
235,/home/dominik/Links/SC2Reps/Ever Dream LE.SC2Replay,2020-03-12 19:06:49+00:00,False,Protoss,Protoss,4009.0,3905.0,Salomoon,Ever Dream LE,594,104.0
236,/home/dominik/Links/SC2Reps/Deathaura LE (19).SC2Replay,2020-07-09 16:18:02+00:00,False,Protoss,Zerg,,,A.I. 1 (Elite),Deathaura LE,438,
237,/home/dominik/Links/SC2Reps/Eternal Empire LE (30).SC2Replay,2020-01-05 20:39:37+00:00,True,Protoss,Protoss,3972.0,4028.0,lIlIlIIlIlIl,Eternal Empire LE,274,-56.0
238,/home/dominik/Links/SC2Reps/Nightshade LE (19).SC2Replay,2020-01-05 14:55:15+00:00,True,Protoss,Terran,,,Sanedude,Nightshade LE,394,
