,replay_file,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
2019-10-29 11:28:05+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE (10).SC2Replay,False,Protoss,Protoss,3873,3952,abelian,Thunderbird LE,383,-79
2019-10-29 11:42:15+00:00,/home/dominik/Links/SC2Reps/Triton LE (8).SC2Replay,False,Protoss,Terran,3836,3955,llllllllllll,Triton LE,758,-119
2019-10-29 18:17:37+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (3).SC2Replay,False,Protoss,Zerg,3802,3912,beh,Disco Bloodbath LE,288,-110
2019-10-29 18:18:43+00:00,/home/dominik/Links/SC2Reps/Thunderbird LE (11).SC2Replay,False,Protoss,Zerg,3767,3740,Hannibal,Thunderbird LE,10,27
2019-10-29 18:34:48+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (8).SC2Replay,True,Protoss,Zerg,3728,3744,&lt;Dobro&gt;<sp/>пиражок,World of Sleepers LE,911,-16
2019-10-30 06:51:48+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (7).SC2Replay,True,Protoss,Protoss,3881,-36400,&lt;WPGG&gt;<sp/>Destructor,Ephemeron LE,18,40281
2019-10-30 07:06:31+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (8).SC2Replay,True,Protoss,Terran,3881,3492,Paulie,Ephemeron LE,548,389
2019-10-31 18:12:23+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (12).SC2Replay,False,Protoss,Terran,3881,4642,Tyson,Acropolis LE,49,-761
2019-10-31 18:19:19+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (13).SC2Replay,False,Zerg,Protoss,3109,3109,minbear,Acropolis LE,115,0
2019-10-31 18:26:16+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (14).SC2Replay,False,Zerg,Zerg,3042,3078,Rwzzz,Acropolis LE,218,-36
2019-10-31 18:41:02+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (9).SC2Replay,True,Zerg,Protoss,2982,2987,Anarazel,World of Sleepers LE,863,-5
2019-10-31 18:55:16+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (15).SC2Replay,False,Protoss,Zerg,3766,3756,Granaatappel,Acropolis LE,777,10
2019-10-31 19:07:25+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (4).SC2Replay,False,Protoss,Terran,3730,3664,&lt;IndyK&gt;<sp/>Sven,Disco Bloodbath LE,381,66
2019-11-01 09:05:49+00:00,/home/dominik/Links/SC2Reps/Triton LE (9).SC2Replay,True,Protoss,Zerg,3691,3769,&lt;NerCC&gt;<sp/>speck,Triton LE,943,-78
2019-11-01 09:15:52+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (9).SC2Replay,False,Protoss,Zerg,3729,3871,Ghalib,Ephemeron LE,552,-142
2019-11-01 10:57:15+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (10).SC2Replay,True,Zerg,Terran,3043,2917,Varrag,World of Sleepers LE,1153,126
2019-11-01 11:09:16+00:00,/home/dominik/Links/SC2Reps/Triton LE (10).SC2Replay,True,Zerg,Zerg,3092,3045,dabo,Triton LE,673,47
2019-11-01 11:30:59+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (16).SC2Replay,True,Zerg,Terran,3144,3128,AUzg,Acropolis LE,1076,16
2019-11-01 11:53:00+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (11).SC2Replay,False,Zerg,Terran,3196,3190,Wormzor,World of Sleepers LE,1280,6
2019-11-01 13:31:50+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (17).SC2Replay,False,Zerg,Terran,3145,3153,qwe,Acropolis LE,727,-8
2019-11-01 13:38:34+00:00,/home/dominik/Links/SC2Reps/Triton LE (11).SC2Replay,False,Zerg,Terran,3096,3156,Gladiator,Triton LE,373,-60
2019-11-01 13:42:38+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (18).SC2Replay,False,Protoss,Protoss,3696,3631,&lt;PiGPan&gt;<sp/>Garethax,Acropolis LE,198,65
2019-11-01 14:22:03+00:00,/home/dominik/Links/SC2Reps/Triton LE (12).SC2Replay,True,Zerg,Terran,3052,3156,&lt;ZЕRGML&gt;<sp/>Федя,Triton LE,739,-104
2019-11-01 14:28:00+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (5).SC2Replay,False,Zerg,Zerg,3104,3140,&lt;THUT&gt;<sp/>Vladosik,Disco Bloodbath LE,262,-36
2019-11-02 17:45:05+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (6).SC2Replay,True,Protoss,Protoss,3661,3631,KKroer,Disco Bloodbath LE,585,30
2019-11-02 17:46:00+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (7).SC2Replay,True,Protoss,Zerg,3691,3606,&lt;Aǂmove&gt;<sp/>AmoveZerg,Disco Bloodbath LE,2,85
